ga_session_id,user_id,country,device,session_start,session_end,events_count,add_to_cart_count,begin_checkout_count,purchase_count,converted,session_duration_seconds,session_revenue
39,21390,IN,desktop,2020-12-16 19:54:00,2020-12-16 20:14:00,512,377,108,27,True,1200.0,112.0
40,21944,TR,mobile,2020-12-11 17:01:00,2020-12-11 17:16:00,510,480,24,6,True,900.0,84.0
41,8649,UA,desktop,2020-12-12 02:07:00,2020-12-12 02:59:00,505,481,24,0,False,3120.0,0.0
42,9110,PL,desktop,2020-12-17 13:23:00,2020-12-17 14:16:00,504,432,72,0,False,3180.0,0.0
43,32057,ES,desktop,2020-12-16 12:17:00,2020-12-16 12:46:00,500,492,8,0,False,1740.0,0.0
44,17823,US,mobile,2020-12-01 02:54:00,2020-12-01 04:01:00,497,456,34,7,True,4020.0,41.0
45,13412,CA,desktop,2020-12-17 06:59:00,2020-12-17 07:29:00,494,484,10,0,False,1800.0,0.0
46,30533,US,desktop,2020-12-27 06:01:00,2020-12-27 06:13:00,492,492,0,0,False,720.0,0.0
47,26868,HK,desktop,2020-12-15 11:33:00,2020-12-15 12:11:00,489,444,36,9,True,2280.0,225.0
48,30428,US,desktop,2020-12-15 00:05:00,2020-12-15 00:32:00,486,468,12,6,True,1620.0,90.0
49,21468,BR,desktop,2020-12-16 03:53:00,2020-12-16 04:07:00,486,486,0,0,False,840.0,0.0
50,6323,US,desktop,2020-12-13 03:09:00,2020-12-13 03:36:00,484,372,96,16,True,1620.0,285.0
51,19255,IN,desktop,2020-12-11 02:50:00,2020-12-11 03:31:00,484,482,2,0,False,2460.0,0.0
52,11152,US,desktop,2020-11-26 16:48:00,2020-11-26 17:28:00,482,472,10,0,False,2400.0,0.0
53,13570,US,mobile,2020-12-23 06:17:00,2020-12-23 07:15:00,474,430,36,8,True,3480.0,96.0
54,1591,US,mobile,2020-12-17 23:43:00,2020-12-18 00:34:00,474,456,12,6,True,3060.0,123.0
55,32018,CL,desktop,2021-01-24 18:29:00,2021-01-24 18:38:00,474,474,0,0,False,540.0,0.0
56,4935,US,mobile,2020-12-11 10:06:00,2020-12-11 10:49:00,472,433,26,13,True,2580.0,61.0
57,11043,IN,mobile,2020-12-17 20:14:00,2020-12-17 20:34:00,469,406,54,9,True,1200.0,151.0
58,21068,CA,mobile,2020-12-14 16:27:00,2020-12-14 17:11:00,463,400,54,9,True,2640.0,110.0
59,21914,BR,mobile,2020-12-25 03:58:00,2020-12-25 04:22:00,456,432,24,0,False,1440.0,0.0
60,26435,CA,desktop,2020-12-22 07:53:00,2020-12-22 08:25:00,455,378,66,11,True,1920.0,50.0
61,25802,US,desktop,2020-12-09 01:18:00,2020-12-09 01:39:00,452,407,36,9,True,1260.0,110.0
62,29367,US,mobile,2020-12-11 10:05:00,2020-12-11 10:28:00,452,428,24,0,False,1380.0,0.0
63,26626,CA,desktop,2020-12-12 00:10:00,2020-12-12 00:37:00,452,452,0,0,False,1620.0,0.0
64,3365,US,mobile,2020-12-23 09:25:00,2020-12-23 10:26:00,448,332,105,11,True,3660.0,16.0
65,229597,US,mobile,2020-12-12 14:26:00,2020-12-12 15:09:00,447,348,88,11,True,2580.0,231.0
66,23147,ID,desktop,2020-12-16 08:50:00,2020-12-16 09:08:00,447,443,4,0,False,1080.0,0.0
67,28308,US,mobile,2020-12-14 13:54:00,2020-12-14 14:43:00,444,408,28,8,True,2940.0,333.0
68,19256,US,mobile,2020-12-16 21:10:00,2020-12-16 21:19:00,444,444,0,0,False,540.0,0.0
69,6606,IT,desktop,2020-11-18 05:18:00,2020-11-18 05:35:00,439,439,0,0,False,1020.0,0.0
70,369,GR,mobile,2021-01-09 12:42:00,2021-01-09 13:25:00,435,372,54,9,True,2580.0,89.0
71,16941,US,desktop,2020-12-02 16:23:00,2020-12-02 17:07:00,434,434,0,0,False,2640.0,0.0
72,520,MY,desktop,2020-12-09 07:57:00,2020-12-09 08:32:00,432,408,16,8,True,2100.0,329.0
73,1203,US,desktop,2020-12-20 15:45:00,2020-12-20 16:22:00,432,348,72,12,True,2220.0,298.0
74,6013,IN,desktop,2021-01-02 22:11:00,2021-01-02 22:31:00,432,432,0,0,False,1200.0,0.0
75,3283,IT,desktop,2021-01-19 05:02:00,2021-01-19 05:32:00,431,359,72,0,False,1800.0,0.0
76,22285,PL,mobile,2020-12-02 18:50:00,2020-12-02 19:19:00,425,393,32,0,False,1740.0,0.0
77,2560,AU,desktop,2020-12-02 11:56:00,2020-12-02 12:45:00,422,336,74,12,True,2940.0,81.0
78,8861,IN,mobile,2020-12-15 03:24:00,2020-12-15 03:58:00,421,394,18,9,True,2040.0,69.0
79,11419,CN,desktop,2020-12-09 03:20:00,2020-12-09 03:44:00,420,420,0,0,False,1440.0,0.0
80,8584,US,desktop,2020-12-10 07:36:00,2020-12-10 08:39:00,420,420,0,0,False,3780.0,0.0
81,19304,US,desktop,2020-12-01 04:21:00,2020-12-01 05:07:00,418,360,44,14,True,2760.0,305.0
82,8422,GB,desktop,2020-12-18 23:52:00,2020-12-19 00:39:00,418,346,63,9,True,2820.0,123.0
83,14827,FR,desktop,2021-01-25 23:54:00,2021-01-26 00:40:00,417,324,87,6,True,2760.0,36.0
84,13198,US,desktop,2020-12-31 19:22:00,2020-12-31 19:50:00,414,372,42,0,False,1680.0,0.0
85,3941,FR,mobile,2020-12-26 20:05:00,2020-12-26 20:55:00,408,360,36,12,True,3000.0,93.0
86,31500,ID,mobile,2020-12-18 23:20:00,2020-12-18 23:36:00,408,324,75,9,True,960.0,38.0
87,22300,NL,desktop,2020-12-07 17:33:00,2020-12-07 18:01:00,408,348,52,8,True,1680.0,81.0
88,24946,US,desktop,2020-12-10 12:01:00,2020-12-10 12:35:00,408,384,24,0,False,2040.0,0.0
89,17055,US,desktop,2021-01-12 20:09:00,2021-01-12 20:19:00,408,408,0,0,False,600.0,0.0
90,25343,ID,mobile,2020-12-01 01:16:00,2020-12-01 03:04:00,407,407,0,0,False,6480.0,0.0
91,6472,US,desktop,2020-12-08 17:52:00,2020-12-08 18:08:00,402,402,0,0,False,960.0,0.0
92,21390,IN,desktop,2020-12-16 12:19:00,2020-12-16 12:45:00,402,402,0,0,False,1560.0,0.0
93,22953,IN,mobile,2020-12-12 00:37:00,2020-12-12 01:15:00,399,324,60,15,True,2280.0,162.0
94,9485,US,mobile,2020-12-17 04:45:00,2020-12-17 06:03:00,398,335,56,7,True,4680.0,191.0
95,3690,NL,desktop,2020-11-30 17:41:00,2020-11-30 21:35:00,397,282,104,11,True,14040.0,479.0
96,25572,ES,desktop,2021-01-08 13:42:00,2021-01-08 14:17:00,397,344,51,2,True,2100.0,41.0
97,4996,US,desktop,2020-12-15 01:53:00,2020-12-15 02:23:00,396,348,42,6,True,1800.0,46.0
98,30924,TW,desktop,2020-12-19 17:27:00,2020-12-19 17:35:00,396,396,0,0,False,480.0,0.0
99,19139,US,desktop,2020-12-22 13:47:00,2020-12-22 14:13:00,396,396,0,0,False,1560.0,0.0
100,21943,CN,desktop,2021-01-12 22:47:00,2021-01-12 23:23:00,394,362,24,8,True,2160.0,201.0
101,25784,IN,mobile,2020-12-09 06:23:00,2020-12-09 07:30:00,394,330,64,0,False,4020.0,0.0
102,6719,PT,mobile,2020-12-14 16:07:00,2020-12-14 16:58:00,393,358,30,5,True,3060.0,84.0
103,30468,US,desktop,2020-12-15 10:34:00,2020-12-15 11:17:00,391,347,44,0,False,2580.0,0.0
104,457,FI,mobile,2020-12-09 20:27:00,2020-12-09 22:03:00,390,348,34,8,True,5760.0,193.0
105,9413,IN,mobile,2020-12-23 18:20:00,2020-12-23 19:14:00,390,368,21,1,True,3240.0,29.0
106,1633,CN,mobile,2021-01-16 00:28:00,2021-01-16 00:55:00,387,372,12,3,True,1620.0,120.0
107,26831,US,desktop,2020-12-16 02:52:00,2020-12-16 03:21:00,387,288,84,15,True,1740.0,180.0
108,26642,FR,desktop,2020-12-12 23:16:00,2020-12-13 00:33:00,384,384,0,0,False,4620.0,0.0
109,1913,US,mobile,2020-12-17 16:39:00,2020-12-17 17:02:00,384,384,0,0,False,1380.0,0.0
110,14467,US,desktop,2020-11-28 10:00:00,2020-11-28 10:37:00,383,336,39,8,True,2220.0,91.0
111,3282,ID,desktop,2021-01-19 18:55:00,2021-01-19 19:46:00,382,354,21,7,True,3060.0,103.0
112,16096,CA,desktop,2020-12-26 04:59:00,2020-12-26 05:14:00,382,382,0,0,False,900.0,0.0
113,8110,US,desktop,2020-12-31 17:59:00,2020-12-31 18:48:00,380,324,48,8,True,2940.0,38.0
114,26596,ID,desktop,2020-12-12 17:35:00,2020-12-12 18:00:00,378,360,14,4,True,1500.0,70.0
115,219,IN,mobile,2020-12-17 17:08:00,2020-12-17 17:19:00,378,360,18,0,False,660.0,0.0
116,18172,US,desktop,2020-12-28 07:13:00,2020-12-28 07:46:00,378,378,0,0,False,1980.0,0.0
117,25718,US,desktop,2020-12-09 03:50:00,2020-12-09 04:33:00,375,360,10,5,True,2580.0,136.0
118,12137,US,mobile,2020-12-11 03:24:00,2020-12-11 03:39:00,375,252,104,19,True,900.0,141.0
119,28943,US,mobile,2020-11-30 10:05:00,2020-11-30 10:27:00,375,279,72,24,True,1320.0,781.0
120,4186,CL,desktop,2020-12-24 08:57:00,2020-12-24 09:17:00,374,360,12,2,True,1200.0,88.0
121,29110,US,desktop,2020-11-26 23:18:00,2020-11-27 00:07:00,372,326,23,23,True,2940.0,225.0
122,23030,US,mobile,2020-12-24 19:45:00,2020-12-24 20:12:00,372,372,0,0,False,1620.0,0.0
123,25660,US,mobile,2020-12-19 09:48:00,2020-12-19 10:15:00,367,347,15,5,True,1620.0,166.0
124,11221,US,desktop,2020-12-18 10:49:00,2020-12-18 11:05:00,364,364,0,0,False,960.0,0.0
125,26379,US,desktop,2020-12-12 04:21:00,2020-12-12 04:48:00,363,300,42,21,True,1620.0,125.0
126,29661,US,desktop,2021-01-02 20:01:00,2021-01-02 20:25:00,363,323,30,10,True,1440.0,234.0
127,1273,GB,desktop,2020-12-16 00:07:00,2020-12-16 01:02:00,363,363,0,0,False,3300.0,0.0
128,5222,IN,mobile,2020-12-16 09:43:00,2020-12-16 10:11:00,362,276,82,4,True,1680.0,87.0
129,14515,US,tablet,2020-11-27 08:20:00,2020-11-27 08:59:00,362,336,13,13,True,2340.0,133.0
130,19528,PH,desktop,2020-12-15 18:19:00,2020-12-15 19:33:00,361,336,20,5,True,4440.0,86.0
131,8598,MX,tablet,2020-12-11 04:46:00,2020-12-11 05:35:00,361,349,12,0,False,2940.0,0.0
132,19105,US,mobile,2021-01-03 05:00:00,2021-01-03 05:16:00,360,336,18,6,True,960.0,78.0
133,5322,US,desktop,2020-12-27 02:01:00,2020-12-27 02:11:00,360,360,0,0,False,600.0,0.0
134,5482,IN,mobile,2020-12-16 16:49:00,2020-12-16 17:08:00,358,288,56,14,True,1140.0,306.0
135,31227,US,desktop,2020-12-08 14:55:00,2020-12-08 15:59:00,356,304,44,8,True,3840.0,155.0
136,17034,US,mobile,2021-01-18 19:52:00,2021-01-18 20:09:00,354,228,108,18,True,1020.0,78.0
137,24917,CA,desktop,2021-01-19 15:10:00,2021-01-19 15:29:00,354,324,30,0,False,1140.0,0.0
138,24306,US,mobile,2020-12-13 05:35:00,2020-12-13 06:02:00,351,252,88,11,True,1620.0,105.0
139,11719,US,mobile,2020-12-14 16:12:00,2020-12-14 16:57:00,350,336,10,4,True,2700.0,87.0
140,31041,FR,desktop,2020-12-21 10:10:00,2020-12-21 10:34:00,349,300,42,7,True,1440.0,126.0
141,30962,CA,desktop,2020-12-04 14:49:00,2020-12-04 17:55:00,349,300,36,13,True,11160.0,263.0
142,7025,KR,mobile,2020-12-23 00:05:00,2020-12-23 00:27:00,348,336,9,3,True,1320.0,46.0
143,2183,IN,desktop,2021-01-22 14:00:00,2021-01-22 14:16:00,348,0,348,0,False,960.0,0.0
144,6606,IT,desktop,2020-11-18 18:55:00,2020-11-18 19:37:00,348,348,0,0,False,2520.0,0.0
145,4312,US,mobile,2020-12-04 15:27:00,2020-12-04 15:37:00,348,348,0,0,False,600.0,0.0
146,24289,NL,desktop,2020-12-13 22:35:00,2020-12-13 22:47:00,348,348,0,0,False,720.0,0.0
147,21555,US,desktop,2021-01-09 14:44:00,2021-01-09 14:53:00,348,348,0,0,False,540.0,0.0
148,7659,US,mobile,2021-01-26 21:11:00,2021-01-26 21:26:00,348,348,0,0,False,900.0,0.0
149,18438,US,mobile,2021-01-26 20:42:00,2021-01-26 20:59:00,348,348,0,0,False,1020.0,0.0
150,22839,TW,desktop,2020-11-27 15:45:00,2020-11-27 16:48:00,348,348,0,0,False,3780.0,0.0
151,26883,US,desktop,2020-12-15 11:55:00,2020-12-15 12:27:00,348,348,0,0,False,1920.0,0.0
152,13118,PH,tablet,2021-01-01 13:46:00,2021-01-01 14:10:00,347,312,30,5,True,1440.0,137.0
153,26549,UA,desktop,2020-12-11 22:37:00,2020-12-11 22:46:00,346,331,10,5,True,540.0,72.0
154,7791,IN,desktop,2020-12-09 10:22:00,2020-12-09 10:52:00,345,295,40,10,True,1800.0,145.0
155,4195,US,desktop,2020-12-23 05:51:00,2020-12-23 06:17:00,345,300,36,9,True,1560.0,125.0
156,19968,KR,desktop,2021-01-21 06:09:00,2021-01-21 07:10:00,344,288,51,5,True,3660.0,77.0
157,7297,CA,mobile,2020-11-29 22:35:00,2020-11-30 00:22:00,342,264,70,8,True,6420.0,147.0
158,27861,US,mobile,2020-12-17 09:15:00,2020-12-17 09:43:00,341,336,4,1,True,1680.0,14.0
159,31055,IE,mobile,2020-12-17 22:39:00,2020-12-17 22:50:00,339,324,15,0,False,660.0,0.0
160,22534,US,mobile,2020-12-25 08:29:00,2020-12-25 09:15:00,336,336,0,0,False,2760.0,0.0
161,7310,US,desktop,2020-11-27 21:47:00,2020-11-27 22:10:00,335,306,22,7,True,1380.0,190.0
162,1945,US,mobile,2021-01-25 19:08:00,2021-01-25 19:31:00,334,264,63,7,True,1380.0,67.0
163,21747,US,mobile,2020-12-09 22:41:00,2020-12-09 22:51:00,333,300,22,11,True,600.0,150.0
164,25418,US,desktop,2020-12-13 15:08:00,2020-12-13 16:33:00,333,238,72,23,True,5100.0,361.0
165,14382,CN,mobile,2021-01-09 00:17:00,2021-01-09 00:22:00,332,332,0,0,False,300.0,0.0
166,22505,GB,desktop,2020-12-11 00:17:00,2020-12-11 01:26:00,331,305,22,4,True,4140.0,60.0
167,14453,GR,mobile,2020-11-30 19:41:00,2020-11-30 20:25:00,330,282,32,16,True,2640.0,337.0
168,346,US,desktop,2020-12-15 16:33:00,2020-12-15 16:48:00,329,324,4,1,True,900.0,44.0
169,18903,IN,desktop,2020-12-08 04:59:00,2020-12-08 05:26:00,329,276,46,7,True,1620.0,92.0
170,1147,ES,mobile,2021-01-04 09:19:00,2021-01-04 09:37:00,328,308,15,5,True,1080.0,50.0
171,30936,CN,desktop,2020-12-18 21:07:00,2020-12-18 21:29:00,328,288,36,4,True,1320.0,66.0
172,30312,US,desktop,2020-11-18 08:02:00,2020-11-18 11:09:00,328,300,0,28,True,11220.0,393.0
173,14679,US,mobile,2020-12-16 12:14:00,2020-12-16 12:38:00,328,274,36,18,True,1440.0,217.0
174,31500,ID,mobile,2020-12-17 20:16:00,2020-12-17 20:30:00,327,240,87,0,False,840.0,0.0
175,28768,US,desktop,2021-01-09 18:57:00,2021-01-09 19:42:00,326,215,99,12,True,2700.0,337.0
176,3963,GB,mobile,2020-12-18 08:51:00,2020-12-18 09:06:00,325,325,0,0,False,900.0,0.0
177,17786,US,desktop,2020-12-23 19:56:00,2020-12-23 20:11:00,324,312,9,3,True,900.0,165.0
178,29999,US,desktop,2021-01-04 08:29:00,2021-01-04 08:58:00,324,324,0,0,False,1740.0,0.0
179,1563,IL,desktop,2020-12-15 05:59:00,2020-12-15 07:38:00,324,324,0,0,False,5940.0,0.0
180,28754,US,desktop,2020-12-18 08:34:00,2020-12-18 09:05:00,323,323,0,0,False,1860.0,0.0
181,30588,IN,desktop,2020-12-06 20:58:00,2020-12-06 21:35:00,322,276,42,4,True,2220.0,58.0
182,9477,US,desktop,2020-12-21 17:48:00,2020-12-21 18:11:00,322,296,24,2,True,1380.0,31.0
183,12757,US,mobile,2020-12-20 05:46:00,2020-12-20 06:08:00,321,276,45,0,False,1320.0,0.0
184,30696,US,desktop,2021-01-12 09:45:00,2021-01-12 10:08:00,321,321,0,0,False,1380.0,0.0
185,18162,CA,desktop,2020-12-08 04:31:00,2020-12-08 05:24:00,320,198,112,10,True,3180.0,167.0
186,27552,IN,desktop,2021-01-23 08:40:00,2021-01-23 10:25:00,320,251,69,0,False,6300.0,0.0
187,8215,US,desktop,2020-12-06 23:48:00,2020-12-07 01:04:00,319,234,68,17,True,4560.0,185.0
188,29956,IN,desktop,2020-12-08 04:29:00,2020-12-08 04:50:00,318,312,4,2,True,1260.0,29.0
189,8136,CO,mobile,2020-11-28 05:42:00,2020-11-28 06:27:00,315,276,26,13,True,2700.0,95.0
190,17674,ES,desktop,2020-12-10 03:10:00,2020-12-10 04:03:00,314,264,44,6,True,3180.0,112.0
191,12155,US,mobile,2020-12-10 23:49:00,2020-12-11 00:34:00,313,278,24,11,True,2700.0,89.0
192,25764,US,desktop,2020-12-09 23:33:00,2020-12-10 00:07:00,313,300,10,3,True,2040.0,35.0
193,31549,US,desktop,2020-12-14 19:38:00,2020-12-14 20:15:00,313,281,32,0,False,2220.0,0.0
194,21547,PL,mobile,2020-12-18 12:03:00,2020-12-18 12:13:00,312,312,0,0,False,600.0,0.0
195,12934,US,desktop,2020-12-04 01:41:00,2020-12-04 02:11:00,312,312,0,0,False,1800.0,0.0
196,31098,ES,mobile,2021-01-29 08:34:00,2021-01-29 09:11:00,312,312,0,0,False,2220.0,0.0
197,25157,IE,desktop,2021-01-09 03:35:00,2021-01-09 03:48:00,312,312,0,0,False,780.0,0.0
198,15615,FR,mobile,2020-12-21 08:53:00,2020-12-21 09:17:00,311,216,90,5,True,1440.0,43.0
199,17027,UA,mobile,2020-12-17 02:57:00,2020-12-17 03:17:00,310,289,14,7,True,1200.0,204.0
200,541,CA,desktop,2020-12-09 19:51:00,2020-12-09 20:17:00,309,300,6,3,True,1560.0,193.0
201,29628,MX,mobile,2021-01-05 19:19:00,2021-01-05 19:47:00,309,288,18,3,True,1680.0,36.0
202,15169,US,mobile,2020-12-25 00:33:00,2020-12-25 01:10:00,309,204,105,0,False,2220.0,0.0
203,27280,NL,desktop,2021-01-20 09:32:00,2021-01-20 10:10:00,308,216,84,8,True,2280.0,98.0
204,5377,CO,mobile,2020-12-23 18:31:00,2020-12-23 18:53:00,308,308,0,0,False,1320.0,0.0
205,12240,US,desktop,2020-12-12 06:27:00,2020-12-12 07:01:00,307,282,22,3,True,2040.0,29.0
206,1222,US,desktop,2020-11-25 18:40:00,2020-11-25 19:45:00,306,306,0,0,False,3900.0,0.0
207,21994,MA,desktop,2021-01-30 00:50:00,2021-01-30 01:13:00,306,306,0,0,False,1380.0,0.0
208,26424,CA,desktop,2020-12-23 18:56:00,2020-12-23 20:30:00,304,228,60,16,True,5640.0,327.0
209,2586,US,desktop,2020-12-17 19:56:00,2020-12-17 20:28:00,304,264,36,4,True,1920.0,35.0
210,23698,US,desktop,2020-12-04 23:01:00,2020-12-04 23:15:00,304,274,24,6,True,840.0,277.0
211,808,US,desktop,2021-01-05 21:11:00,2021-01-05 21:49:00,304,304,0,0,False,2280.0,0.0
212,14970,US,desktop,2021-01-01 13:17:00,2021-01-01 13:48:00,303,240,54,9,True,1860.0,72.0
213,21633,CA,desktop,2020-11-30 20:04:00,2020-11-30 20:41:00,303,288,12,3,True,2220.0,105.0
214,26940,US,mobile,2021-01-03 23:14:00,2021-01-03 23:28:00,303,213,90,0,False,840.0,0.0
215,7114,CA,mobile,2020-12-16 14:08:00,2020-12-16 14:31:00,300,264,24,12,True,1380.0,186.0
216,11334,SG,tablet,2020-12-09 22:30:00,2020-12-09 22:51:00,300,276,24,0,False,1260.0,0.0
217,20937,IN,desktop,2020-11-18 07:19:00,2020-11-18 07:42:00,300,300,0,0,False,1380.0,0.0
218,14592,IN,desktop,2020-12-11 09:28:00,2020-12-11 09:38:00,300,300,0,0,False,600.0,0.0
219,22944,IN,mobile,2020-12-12 11:25:00,2020-12-12 12:00:00,299,288,10,1,True,2100.0,14.0
220,22339,US,mobile,2020-12-10 04:59:00,2020-12-10 05:21:00,299,276,18,5,True,1320.0,91.0
221,1381,US,desktop,2020-12-13 06:25:00,2020-12-13 06:38:00,299,299,0,0,False,780.0,0.0
222,23538,IN,mobile,2020-12-20 09:43:00,2020-12-20 10:24:00,298,256,36,6,True,2460.0,90.0
223,18426,FR,desktop,2021-01-24 00:53:00,2021-01-24 01:18:00,298,228,63,7,True,1500.0,299.0
224,4139,NO,mobile,2020-12-14 08:51:00,2020-12-14 09:03:00,297,288,6,3,True,720.0,36.0
225,30832,IL,mobile,2021-01-25 07:47:00,2021-01-25 08:11:00,297,264,33,0,False,1440.0,0.0
226,26366,US,mobile,2021-01-04 09:17:00,2021-01-04 09:52:00,296,240,54,2,True,2100.0,123.0
227,21658,IN,desktop,2020-11-26 13:39:00,2020-11-26 13:59:00,296,283,13,0,False,1200.0,0.0
228,13928,SG,desktop,2020-12-18 00:07:00,2020-12-18 00:30:00,295,246,42,7,True,1380.0,62.0
229,29336,BR,mobile,2020-12-09 17:20:00,2020-12-09 17:43:00,294,272,18,4,True,1380.0,174.0
230,15124,JP,desktop,2020-12-03 06:56:00,2020-12-03 07:30:00,294,240,54,0,False,2040.0,0.0
231,17480,US,desktop,2020-12-14 22:52:00,2020-12-14 23:03:00,294,264,30,0,False,660.0,0.0
232,27411,US,mobile,2020-12-17 16:33:00,2020-12-17 17:04:00,294,276,18,0,False,1860.0,0.0
233,23549,CA,desktop,2021-01-24 23:33:00,2021-01-25 00:14:00,293,216,60,17,True,2460.0,518.0
234,32059,US,mobile,2021-01-12 21:54:00,2021-01-12 22:03:00,293,293,0,0,False,540.0,0.0
235,26166,ES,desktop,2020-12-05 14:21:00,2020-12-05 15:08:00,292,252,36,4,True,2820.0,155.0
236,19537,FR,desktop,2020-12-15 08:26:00,2020-12-15 08:52:00,291,228,54,9,True,1560.0,143.0
237,4389,PT,desktop,2021-01-01 16:18:00,2021-01-01 16:44:00,289,191,84,14,True,1560.0,159.0
238,19139,US,desktop,2021-01-30 19:58:00,2021-01-30 20:19:00,289,289,0,0,False,1260.0,0.0
239,28313,SG,mobile,2020-12-14 06:06:00,2020-12-14 08:21:00,288,273,10,5,True,8100.0,57.0
240,3753,US,desktop,2020-11-19 21:49:00,2020-11-19 21:50:00,288,288,0,0,False,60.0,0.0
241,5137,US,desktop,2020-12-30 03:30:00,2020-12-30 04:04:00,288,288,0,0,False,2040.0,0.0
242,17627,JP,desktop,2021-01-12 13:19:00,2021-01-12 13:24:00,288,288,0,0,False,300.0,0.0
243,30049,US,mobile,2020-12-22 11:33:00,2020-12-22 11:50:00,288,288,0,0,False,1020.0,0.0
244,5854,KR,mobile,2021-01-22 18:15:00,2021-01-22 18:58:00,287,168,108,11,True,2580.0,168.0
